stock,5,10,15,20
000581.SZ,002121.SZ,002121.SZ,002055.SZ,603660.SH
000582.SZ,002148.SZ,603588.SH,603588.SH,002606.SZ
000584.SZ,000584.SZ,000584.SZ,000584.SZ,000584.SZ
000585.SZ,000585.SZ,000585.SZ,000585.SZ,000585.SZ
000586.SZ,600035.SH,600035.SH,002759.SZ,002604.SZ
000587.SZ,002143.SZ,600666.SH,600666.SH,600666.SH
000589.SZ,600610.SH,600610.SH,000156.SZ,000422.SZ
000590.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000591.SZ,600666.SH,600666.SH,600666.SH,600666.SH
000592.SZ,600105.SH,600820.SH,600820.SH,600820.SH
000593.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000595.SZ,000595.SZ,000595.SZ,000595.SZ,000595.SZ
000596.SZ,603369.SH,603369.SH,603369.SH,603369.SH
000597.SZ,600309.SH,600309.SH,002458.SZ,002399.SZ
000598.SZ,600035.SH,601208.SH,600035.SH,000400.SZ
000599.SZ,600829.SH,600829.SH,000564.SZ,000564.SZ
000600.SZ,300334.SZ,002342.SZ,002608.SZ,601098.SH
000601.SZ,600685.SH,300306.SZ,300306.SZ,002604.SZ
000603.SZ,600610.SH,600610.SH,600610.SH,600610.SH
000605.SZ,603969.SH,002431.SZ,300428.SZ,000820.SZ
000606.SZ,000540.SZ,600015.SH,600015.SH,000971.SZ
000607.SZ,600824.SH,600824.SH,002786.SZ,002786.SZ
000608.SZ,000156.SZ,000156.SZ,600157.SH,000035.SZ
000609.SZ,000564.SZ,600666.SH,600666.SH,600666.SH
000610.SZ,002381.SZ,601608.SH,601608.SH,601099.SH
000611.SZ,000611.SZ,000611.SZ,000611.SZ,000611.SZ
000612.SZ,002122.SZ,002122.SZ,002122.SZ,002122.SZ
000613.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000615.SZ,300428.SZ,300428.SZ,300428.SZ,300428.SZ
000616.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000617.SZ,002070.SZ,002070.SZ,002070.SZ,000812.SZ
000619.SZ,601801.SH,601801.SH,601801.SH,002076.SZ
000620.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000622.SZ,002323.SZ,002323.SZ,600680.SH,600680.SH
000623.SZ,300291.SZ,600666.SH,600666.SH,600666.SH
000625.SZ,300256.SZ,300256.SZ,300256.SZ,300256.SZ
000626.SZ,300163.SZ,300163.SZ,300163.SZ,002606.SZ
000627.SZ,600291.SH,300201.SZ,300201.SZ,002072.SZ
002200.SZ,600666.SH,600666.SH,600666.SH,600666.SH
002201.SZ,002070.SZ,002070.SZ,002070.SZ,600680.SH
002202.SZ,002251.SZ,002251.SZ,002251.SZ,002622.SZ
002203.SZ,603318.SH,603318.SH,603318.SH,603318.SH
